Date,Sum of Impressions,Sum of Reach,Count of Publish time,Sum of Reactions,Sum of Comments,Sum of Shares,Sum of Total clicks
June 2024,50320,45620,54,832,101,121,2118
July 2024,68667,62883,56,1436,208,163,3578
Aug 2024,23006,20217,26,340,83,56,1433
Sept 2024,5752,12787,19,241,211,5,25
Oct 2024,42279,27369,40,701,565,43,93
Nov 2024,34392,22957,41,441,362,30,49
Dec 2024,26300,18332,46,280,231,10,39
Jan 2025,22119,14438,42,264,224,14,26
Deb 2025,19400,13361,34,335,269,28,38
,,,,,,,
,,,,,,,
,,,,,,,
,,,,,,,
